key,zh,en,file,line
anchor.s1,编辑模板,Edit Profile,AnchorEditorScreen.kt,84
anchor.s2,新建模板,New Profile,AnchorEditorScreen.kt,84
anchor.s3,模板名称,Profile Name,AnchorEditorScreen.kt,94
anchor.s4,目标曲线,Target Curve,AnchorEditorScreen.kt,127
anchor.s5,锚点,Anchor Point,AnchorEditorScreen.kt,132
anchor.s6,锚点 · 预览图上点空白加锚点、长按拖动调位置,"Anchors · Tap empty area to add, long-press to drag",AnchorEditorScreen.kt,141
anchor.s7,时间单位为秒：9分30秒 填 570,Time in seconds: e.g. 9:30 → enter 570,AnchorEditorScreen.kt,154
anchor.s8,+ 添加锚点,+ Add Anchor,AnchorEditorScreen.kt,166
anchor.s9,保存修改,Save Changes,AnchorEditorScreen.kt,189
anchor.s10,保存模板,Save Profile,AnchorEditorScreen.kt,189
anchor.s11,已保存 ✓,Saved ✓,AnchorEditorScreen.kt,193
anchor.s12,名称,Name,AnchorEditorScreen.kt,224
anchor.s13,秒,sec,AnchorEditorScreen.kt,237
anchor.s14,删,Del,AnchorEditorScreen.kt,257
anchor.s15,自定义模板 {monthNumber}{dayOfMonth}-{hour}{minute},Custom {monthNumber}{dayOfMonth}-{hour}{minute},AnchorEditorScreen.kt,426
app.s9,烘焙记录仪,Roast Logger,ArtisanAlog.kt,30
ble.s1,蓝牙配网,Bluetooth Setup,BleConfigScreen.kt,45
ble.s2,返回,Back,BleConfigScreen.kt,46
ble.s3,先让桥接器进入配网模式（紫灯闪烁），再扫描连接。,"Put the bridge into setup mode (purple LED blinking), then scan to connect.",BleConfigScreen.kt,51
ble.s4,还没有记录桥接器 IP，先到主界面连一次，或直接按 BOOT 键进配网。,"No bridge IP saved yet. Connect once from the main screen, or press BOOT to enter setup mode.",BleConfigScreen.kt,68
